phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"толщина стен каркасной бани","11318","Омская область","6","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"установка каркасных бань","66","Омск","6","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"установка мобильной бани","66","Омск","6","top","мобильная баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","мобильн* бан*"
"установка мобильной бани","11318","Омская область","6","top","мобильная баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","мобильн* бан*"
"устройство мобильной бани","11318","Омская область","6","top","мобильная баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","мобильн* бан*"
"фундамент под баню 4 5","11318","Омская область","6","top","фундамент под баню","assigned","informational","low","intent-default","guide","B14","Фундамент для мобильной или готовой бани","6","фундамент под бан*"
"фундамент под баню 6 на 6","11318","Омская область","6","top","фундамент под баню","assigned","informational","low","intent-default","guide","B14","Фундамент для мобильной или готовой бани","6","фундамент под бан*"
"фундамент под баню своими руками пошаговая","11318","Омская область","6","top","фундамент под баню","assigned","informational","high","signals","guide","B14","Фундамент для мобильной или готовой бани","6","фундамент под бан*"
"фундамент под печку в бане","11318","Омская область","6","top","фундамент под баню","unassigned","unmapped","none","none","hold","","","",""
"цена работы отделка бани под ключ","66","Омск","6","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"цена работы отделка бани под ключ","11318","Омская область","6","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"бани бочки под ключ недорого","66","Омск","5","top","баня под ключ","unassigned","commercial","high","signals","landing","","","",""
"бани бочки под ключ недорого","11318","Омская область","5","top","баня под ключ","unassigned","commercial","high","signals","landing","","","",""
"баня 3 4 под ключ","11318","Омская область","5","top","баня под ключ","unassigned","commercial","high","signals","landing","","","",""
"баня бочка под ключ купить в омске","66","Омск","5","top","баня под ключ","unassigned","commercial","high","signals","landing","","","",""
"баня бочка под ключ купить в омске","11318","Омская область","5","top","баня под ключ","unassigned","commercial","high","signals","landing","","","",""
"баня готовая в омской области купить","66","Омск","5","top","готовая баня","unassigned","commercial","medium","signals","landing","","","",""
"баня зимой замерзает вода","66","Омск","5","top","баня зимой","assigned","informational","low","intent-default","guide","B16","Слив и вода зимой","4","замерз* вод*"
"баня зимой замерзает вода","11318","Омская область","5","top","баня зимой","assigned","informational","low","intent-default","guide","B16","Слив и вода зимой","4","замерз* вод*"
"баня каркасная своими руками от начала","11318","Омская область","5","top","каркасная баня","unassigned","informational","high","signals","guide","","","",""
"баня на двух участках","11318","Омская область","5","top","баня на участок","unassigned","unmapped","none","none","hold","","","",""
"баня на соседнем участке расстояние","66","Омск","5","top","баня на участок","unassigned","unmapped","none","none","hold","","","",""
"баня на соседнем участке расстояние","11318","Омская область","5","top","баня на участок","unassigned","unmapped","none","none","hold","","","",""
"баня на участке 8 соток","11318","Омская область","5","top","баня на участок","unassigned","unmapped","none","none","hold","","","",""
"баня на участке сколько метров","11318","Омская область","5","top","баня на участок","unassigned","informational","high","signals","guide","","","",""
"баня на участок купить","11318","Омская область","5","top","баня на участок","unassigned","commercial","medium","signals","landing","","","",""
"баня под ключ в новосибирске цена","11318","Омская область","5","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"баня под ключ г","11318","Омская область","5","top","баня под ключ","assigned","commercial","high","signals","landing","B01","Готовая баня как альтернатива долгой стройке","6","бан* под ключ"
"баня с террасой под ключ","66","Омск","5","top","баня под ключ","unassigned","commercial","high","signals","landing","","","",""
"баня с террасой под ключ","11318","Омская область","5","top","баня под ключ","unassigned","commercial","high","signals","landing","","","",""
"бизнес готовые бани","66","Омск","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"бизнес готовые бани","11318","Омская область","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"бурение абиссинская скважина купить","66","Омск","5","top","бурение скважин","unassigned","commercial","medium","signals","landing","","","",""
"бурение абиссинская скважина купить","11318","Омская область","5","top","бурение скважин","unassigned","commercial","medium","signals","landing","","","",""
"бурение вода скважина станок","66","Омск","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"бурение вода скважина станок","11318","Омская область","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"бурение водоносных скважин","66","Омск","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"бурение и ремонт скважин","66","Омск","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"бурение скважин воду метров","11318","Омская область","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин картинки","66","Омск","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин картинки","11318","Омская область","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин можно","66","Омск","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин на воду на даче","11318","Омская область","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"бурение скважин на воду своими руками","66","Омск","5","top","бурение скважин","unassigned","informational","high","signals","guide","","","",""
"бурение скважин на воду цена за метр","11318","Омская область","5","top","бурение скважин","unassigned","commercial","medium","signals","landing","","","",""
"бурение скважин на даче","66","Омск","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин на участке","66","Омск","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин на участке","11318","Омская область","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин работа","11318","Омская область","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин чистую воду","66","Омск","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважин чистую воду","11318","Омская область","5","top","бурение скважин","unassigned","commercial","medium","commercial-head","landing","","","",""
"бурение скважины на даче своими руками","11318","Омская область","5","top","бурение скважин","unassigned","informational","high","signals","guide","","","",""
"бурение чистая скважина","66","Омск","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"бурение чистая скважина","11318","Омская область","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"веник для бани доставка","66","Омск","5","top","доставка бани","unassigned","commercial","medium","signals","landing","","","",""
"веник для бани доставка","11318","Омская область","5","top","доставка бани","unassigned","commercial","medium","signals","landing","","","",""
"веник для бани купить доставка","66","Омск","5","top","доставка бани","unassigned","commercial","high","signals","landing","","","",""
"веник для бани купить доставка","11318","Омская область","5","top","доставка бани","unassigned","commercial","high","signals","landing","","","",""
"водоносные слои при бурении скважин","66","Омск","5","top","бурение скважин","unassigned","unmapped","none","none","hold","","","",""
"высота каркасной бани","66","Омск","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"высота каркасной бани","11318","Омская область","5","top","каркасная баня","assigned","commercial","medium","commercial-head","landing","B03","Квадро или каркасная баня","4","каркасн* бан*"
"высота фундамента под баню","11318","Омская область","5","top","фундамент под баню","unassigned","unmapped","none","none","hold","","","",""
"г омск готовая баня 3на3 цена","66","Омск","5","top","готовая баня","assigned","commercial","medium","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"г омск готовая баня 3на3 цена","11318","Омская область","5","top","готовая баня","assigned","commercial","medium","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовая баня в рассрочку купить","66","Омск","5","top","готовая баня","assigned","commercial","medium","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовая баня в рассрочку купить","11318","Омская область","5","top","готовая баня","assigned","commercial","medium","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовая баня в рассрочку омск купить","66","Омск","5","top","готовая баня","assigned","commercial","medium","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовая баня в рассрочку омск купить","11318","Омская область","5","top","готовая баня","assigned","commercial","medium","signals","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовая баня из кирпича","66","Омск","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовая баня из кирпича","11318","Омская область","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
"готовая модульная баня","11318","Омская область","5","top","готовая баня","unassigned","unmapped","none","none","hold","","","",""
"готовая полусухая стяжка","66","Омск","5","top","полусухая стяжка","assigned","commercial","medium","commercial-head","landing","S01","Полусухая или мокрая стяжка","4","полусух* стяжк*"
"готовое крыльцо к бане","66","Омск","5","top","готовая баня","unassigned","unmapped","none","none","hold","","","",""
"готовое крыльцо к бане","11318","Омская область","5","top","готовая баня","unassigned","unmapped","none","none","hold","","","",""
"готовые бани в области","66","Омск","5","top","готовая баня","assigned","commercial","medium","commercial-head","landing","B01","Готовая баня как альтернатива долгой стройке","4","готов* бан*"
