phrase,region_id,region_name,count,types,seeds,analysis_status,query_type,query_confidence,query_source,next_action,intent_id,intent_title,intent_score,matched_keywords
"версии дипсика","225","Россия","6710","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"codex chatgpt","225","Россия","6694","top","codex","assigned","informational","low","intent-default","guide","TL04","OpenAI Codex","2","codex*"
"сделать песню нейросеть бесплатно","225","Россия","6692","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"сгенерировать песню нейросеть бесплатно","225","Россия","6680","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"gemini скачать на андроид","225","Россия","6636","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"нейросеть обрабатывающая фото бесплатно","225","Россия","6633","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"обработать фото нейросетью бесплатно","225","Россия","6633","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"qwen 3.8 max","225","Россия","6614","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"ai нейросеть бесплатно","225","Россия","6605","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"deepseek скачать","225","Россия","6576","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"нейросеть бесплатно лицо","225","Россия","6541","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"deepseek flash","225","Россия","6536","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"дипсик на пк","225","Россия","6489","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"обработанное нейросетью онлайн бесплатно","225","Россия","6471","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть для генерации видео бесплатно","225","Россия","6441","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"локальная нейросеть","225","Россия","6414","top","локальные нейросети","assigned","informational","low","intent-default","guide","MD08","Локальные модели и Ollama","4","локальн* нейросет*"
"оживить нейросетью онлайн бесплатно","225","Россия","6360","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"codex gpt","225","Россия","6347","top","codex","assigned","informational","low","intent-default","guide","TL04","OpenAI Codex","2","codex*"
"как отключить gemini","225","Россия","6332","top","gemini","assigned","informational","high","signals","guide","MD04","Gemini","2","gemini*"
"пост с нейросетью бесплатно","225","Россия","6310","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"codex ai","225","Россия","6261","top","codex","assigned","informational","low","intent-default","guide","TL04","OpenAI Codex","2","codex*"
"фото лучшая нейросеть бесплатно онлайн","225","Россия","6260","top","бесплатные нейросети","assigned","informational","medium","signals","guide","MD01","Как выбрать модель для кода","4","лучшая нейросет*"
"нейросеть для генерации изображений кандинский","225","Россия","6226","top","нейросеть для генерации изображений","assigned","informational","low","intent-default","guide","IN04","Генерация изображений","6","нейросет* для генерации изображени*"
"нейросеть фото скачать бесплатно","225","Россия","6209","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"https deepseek","225","Россия","6166","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"создать песню нейросеть бесплатно без регистрации онлайн","225","Россия","6153","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"дипсик вход","225","Россия","6083","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"видео с помощью нейросети бесплатно","225","Россия","6032","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"gemini модели","225","Россия","6016","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"нейросеть редактор онлайн бесплатно","225","Россия","5982","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"gemini купить","225","Россия","5901","top","gemini","assigned","commercial","medium","signals","landing","MD04","Gemini","2","gemini*"
"создать картинки нейросетью бесплатно","225","Россия","5818","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть для песен бесплатно","225","Россия","5817","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"qwen ai chat","225","Россия","5789","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"сделать презентацию с помощью нейросети бесплатно","225","Россия","5777","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть стихи бесплатно","225","Россия","5735","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"qwen 3.7","225","Россия","5724","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
"нейросеть голос бесплатно","225","Россия","5719","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"изменить фото нейросеть бесплатно","225","Россия","5675","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","нейросет* бесплатно*"
"нейросеть изменяющая фото бесплатно","225","Россия","5675","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"нейросеть обрабатывающая фото онлайн бесплатно","225","Россия","5651","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"обработать фото нейросетью онлайн бесплатно","225","Россия","5651","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"бесплатная нейросеть для создания фото","225","Россия","5648","top","бесплатные нейросети","assigned","informational","low","intent-default","guide","MD09","Бесплатные модели","4","бесплатн* нейросет*"
"dns для gemini","225","Россия","5611","top","gemini","assigned","informational","low","intent-default","guide","MD04","Gemini","2","gemini*"
"glm 5","225","Россия","5608","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"дипсик скачать на пк","225","Россия","5582","top","дипсик","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","дипсик*"
"газонокосилка бензиновая huter glm","225","Россия","5565","top","glm","assigned","informational","low","intent-default","guide","MD06","GLM / Zhipu","2","glm*"
"https deepseek com","225","Россия","5560","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"нейросеть фото бесплатно без регистрации на русском","225","Россия","5532","top","бесплатные нейросети","unassigned","unmapped","none","none","hold","","","",""
"deepseek бесплатно","225","Россия","5517","top","deepseek","assigned","informational","low","intent-default","guide","MD03","DeepSeek","2","deepseek*"
"qwen 2.5","225","Россия","5507","top","qwen","assigned","informational","low","intent-default","guide","MD05","Qwen и китайские модели","2","qwen*"
